passenger_id,age_band,travel_party_type,visa_bucket,layover_duration_hrs,arrival_time_block,season_month,luggage_status,fatigue_level,budget_tier,interest_category,risk_comfort,marketing_channel,layover_confidence_score,confidence_band,recommended_tier,app_viewed,eligibility_checked,packages_viewed,booked,selected_package,paid_amount_aed,late_return_risk_score,completed_on_time,satisfaction_rating,referral_intent,app_viewed_clean,eligibility_checked_clean,booked_clean,completed_on_time_clean,recommended_tier_clean,selected_package_clean,layover_duration_hrs_clean,paid_amount_aed_clean,fatigue_missing_flag,budget_missing_flag,fatigue_level_clean,budget_tier_clean,time_buffer_mins_clean,confidence_band_clean,conversion_flag,package_viewed_flag,completed_flag,late_return_flag_clean,revenue_category,funnel_stage_clean,tier_category,high_value_lead_flag,engagement_level,safe_to_leave_flag,recommendation_match_flag
PS00023,25-34,Couple,Visa-Free/On-Arrival,3.8,Afternoon,February,Carry-On Only,2,Mid-Range,Relaxation & Wellness,3,Airline Partner,72.3,High,City / Culture / Shopping,True,True,3,False,,,,,,,True,True,False,,City/Culture/Shopping,,3.8,,False,False,2.0,Mid-Range,138.0,High,False,True,False,,No Spend,Package Viewed,Outdoor/Higher-Risk,False,Medium,False,
PS00024,25-34,Family with kids,transit-visa-required,11.2,Afternoon,October,Carry-On Only,5,Budget,Shopping,1,Social Media,55.1,Medium,AIRPORT LOUNGE/RELAXATION,True,True,3,TRUE,Premium Fast-Track/Chauffeur,1085.0,18.4,False,2.0,2.0,True,True,True,False,Airport Lounge/Relaxation,Premium Fast-Track/Chauffeur,11.2,1085.0,False,False,5.0,Budget,582.0,Medium,True,True,True,0.0,High,Completed,Airside/Low-Risk,False,Medium,False,0.0
PS00025,25-34,Couple,Visa-Free/On-Arrival,4.9,Afternoon,August,Carry-On Only,4,Mid-Range,Shopping,3,Word of Mouth/Referral,69.3,High,Indoor Micro-Experience,True,True,3,True,  Indoor Micro-Experience ,,50.2,False,4.0,4.0,True,True,True,False,Indoor Micro-Experience,Indoor Micro-Experience,4.9,,False,False,4.0,Mid-Range,204.0,High,True,True,True,0.0,No Spend,Completed,Indoor/Moderate-Risk,False,Medium,True,1.0
PS00026,45-54,Couple,visa-free/on-arrival,11.3,Afternoon,February,Checked-Through,4,Budget,Relaxation & Wellness,4,Word of Mouth/Referral,78.9,High,INDOOR MICRO-EXPERIENCE,True,True,0,True,Indoor Micro-Experience,348.0,13.8,True,5.0,5.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,11.3,348.0,False,False,4.0,Budget,588.0,High,True,False,True,0.0,Mid,Completed,Indoor/Moderate-Risk,False,None,False,1.0
PS00027,25-34,solo,Visa-Free/On-Arrival,7.7,Morning,November,Checked-Through,4,Budget,Active/City,2,Word of Mouth/Referral,73.3,High,Indoor Micro-Experience,True,True,4,True,Indoor Micro-Experience,370.0,23.8,True,4.0,4.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,7.7,370.0,False,False,4.0,Budget,372.0,High,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,False,Medium,True,1.0
PS00028,35-44,Friends/Group,Transit-Visa-Required,2.0,Morning,February,Carry-On Only,3,Premium,Relaxation & Wellness,2,Word of Mouth/Referral,53.0,Medium,Indoor Micro-Experience,True,False,1,False,,,,,,,True,False,False,,Indoor Micro-Experience,,2.0,,False,False,3.0,Premium,30.0,Medium,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,False,
PS00029,35-44,Family with kids,Transit-Visa-Required,5.7,Morning,November,Checked-Through,4,Premium,Relaxation & Wellness,1,Airport Signage,62.4,Medium,Indoor Micro-Experience,True,True,2,True,Indoor Micro-Experience,531.0,37.5,True,5.0,5.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,5.7,531.0,False,False,4.0,Premium,252.0,Medium,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,False,Low,True,1.0
PS00030,18-24,Solo,Transit-Visa-Required,13.1,Afternoon,November,Checked-Through,3,Budget,Active/City,4,Social Media,71.8,High,City/Culture/Shopping,True,True,5,Y,City/Culture/Shopping,345.0,13.1,Y,4.0,4.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,13.1,345.0,False,False,3.0,Budget,696.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,High,True,1.0
PS00031,35-44,Friends/Group,TRANSIT-VISA-REQUIRED,8.2,Night,October,Checked-Through,4,Mid-Range,Shopping,1,Word of Mouth/Referral,67.2,Medium,Indoor Micro-Experience,True,True,0,False,,,,,,,True,True,False,,Indoor Micro-Experience,,8.2,,False,False,4.0,Mid-Range,401.99999999999994,Medium,False,False,False,,No Spend,Eligibility Checked,Indoor/Moderate-Risk,False,None,False,
PS00032,18-24,Couple,Visa-Free/On-Arrival,6.0,Morning,October,Carry-On Only,4,Premium,Active/City,5,Airport Signage,80.4,High,Premium Fast-Track/Chauffeur,True,True,3,True,Premium Fast-Track/Chauffeur,2706.0,41.5,False,3.0,4.0,True,True,True,False,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,6.0,2706.0,False,False,4.0,Premium,270.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,True,Medium,True,1.0
PS00033,18-24,Couple,Visa-Free/On-Arrival,14.6,Night,August,Checked-Through,4,Budget,Family/Indoor,3,Airport Signage,76.2,High,City/Culture/Shopping,1,True,2,True,City/Culture/Shopping,406.0,10.1,True,4.0,4.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,14.6,406.0,False,False,4.0,Budget,786.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Low,True,1.0
PS00034,55+,family with kids,Visa-Free/On-Arrival,3.5,Evening,December,Checked-Through,4,Budget,Relaxation & Wellness,3,Word of Mouth/Referral,61.2,Medium,Airport Lounge/Relaxation,True,True,5,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,3.5,,False,False,4.0,Budget,120.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,High,False,
PS00035,55+,Family with kids,Visa-Free/On-Arrival,5.1,Evening,June,Checked-Through,1,,Relaxation & Wellness,1,Word of Mouth/Referral,73.0,High,Premium Fast-Track/Chauffeur,True,True,2,True,Premium Fast-Track/Chauffeur,2372.0,50.8,True,5.0,5.0,True,True,True,True,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,5.1,2372.0,False,True,1.0,Unknown,216.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,False,Low,True,1.0
PS00036,45-54,Family with kids,Visa-Free/On-Arrival,12.4,Evening,December,Needs Storage,1,Mid-Range,Family/Indoor,3,Organic App Search,82.1,High,City/Culture/Shopping,True,True,3,True,Stay Airside,0.0,0.0,True,3.0,3.0,True,True,True,True,City/Culture/Shopping,Stay Airside,12.4,0.0,False,False,1.0,Mid-Range,654.0,High,True,True,True,0.0,Low,Completed,Outdoor/Higher-Risk,False,Medium,True,0.0
PS00037,25-34,Solo,Not-Eligible,11.0,Night,November,Checked-Through,4,Budget,Relaxation & Wellness,3,Organic App Search,30.0,Low,Stay Airside,True,TRUE,0,False,,,,,,,True,True,False,,Stay Airside,,11.0,,False,False,4.0,Budget,570.0,Low,False,False,False,,No Spend,Eligibility Checked,Airside/Low-Risk,False,None,False,
PS00038,18-24,Solo,Visa-Free/On-Arrival,-3.0,Morning,April,Carry-On Only,2,Budget,Culture & Heritage,3,Airline Partner,65.7,Medium,Airport Lounge/Relaxation,True,True,4,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,,,False,False,2.0,Budget,,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Medium,False,
PS00039,35-44,Friends/Group,Visa-Free/On-Arrival,9.8,Afternoon,March,Carry-On Only,3,Budget,Active/City,3,Organic App Search,75.5,High,City/Culture/Shopping,True,True,1,True,Premium Fast-Track/Chauffeur,1910.0,20.9,True,2.0,2.0,True,True,True,True,City/Culture/Shopping,Premium Fast-Track/Chauffeur,9.8,1910.0,False,False,3.0,Budget,498.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,False,Low,True,0.0
PS00040,25-34,Solo,Visa-Free/On-Arrival,4.9,Evening,January,Carry-On Only,3,Mid-Range,Shopping,3,Airline Partner,74.2,High,City/Culture/Shopping,True,True,4,True,City/Culture/Shopping,339.0,61.9,True,4.0,3.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,4.9,339.0,False,False,3.0,Mid-Range,204.0,High,True,True,True,1.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
PS00041,18-24,Solo,Visa-Free/On-Arrival,2.0,Evening,November,Checked-Through,1,Mid-Range,Culture & Heritage,3,Travel Agent,67.2,Medium,Indoor Micro-Experience,TRUE,True,2,False,,,,,,,True,True,False,,Indoor Micro-Experience,,2.0,,False,False,1.0,Mid-Range,30.0,Medium,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,False,
PS00042,25-34,Couple,Not-Eligible,6.1,Night,March,Carry-On Only,1,Mid-Range,Shopping,3,Airline Partner,30.0,Low,Stay Airside,True,False,2,False,,,,,,,True,False,False,,Stay Airside,,6.1,,False,False,1.0,Mid-Range,276.0,Low,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,False,
PS00043,18-24,Couple,Visa-Free/On-Arrival,20.4,Morning,December,Checked-Through,4,Mid-Range,culture & heritage,3,Airport Signage,79.5,High,City/Culture/Shopping,True,True,0,True,Airport Lounge/Relaxation,292.0,4.4,True,2.0,1.0,True,True,True,True,City/Culture/Shopping,Airport Lounge/Relaxation,20.4,292.0,False,False,4.0,Mid-Range,1134.0,High,True,False,True,0.0,Low,Completed,Outdoor/Higher-Risk,False,None,True,0.0
PS00044,55+,Couple,Visa-Free/On-Arrival,13.2,Evening,September,Checked-Through,4,Budget,Shopping,4,Organic App Search,75.2,High,Indoor Micro-Experience,True,True,0,True,Premium Fast-Track/Chauffeur,1471.0,5.8,True,4.0,4.0,True,True,True,True,Indoor Micro-Experience,Premium Fast-Track/Chauffeur,13.2,1471.0,False,False,4.0,Budget,702.0,High,True,False,True,0.0,High,Completed,Indoor/Moderate-Risk,False,None,True,0.0
PS00045,25-34,Friends/Group,Transit-Visa-Required,7.3,Afternoon,May,Carry-On Only,3,Budget,Shopping,2,Airport Signage,68.3,Medium,Airport Lounge/Relaxation,True,True,3,yes ,Stay Airside,0.0,18.8,True,2.0,2.0,True,True,True,True,Airport Lounge/Relaxation,Stay Airside,7.3,0.0,False,False,3.0,Budget,348.0,Medium,True,True,True,0.0,Low,Completed,Airside/Low-Risk,False,Medium,True,0.0
PS00046,35-44,Solo,Visa-Free/On-Arrival,2.3,Afternoon,June,Carry-On Only,5,Budget,Family/Indoor,3,Travel Agent,48.2,Medium,Airport Lounge/Relaxation,True,False,0,FALSE,,,,,,,True,False,False,,Airport Lounge/Relaxation,,2.3,,False,False,5.0,Budget,48.0,Medium,False,False,False,,No Spend,App Viewed,Airside/Low-Risk,False,None,False,
PS00047,25-34,Solo,Visa-Free/On-Arrival,2.0,Afternoon,May,Carry-On Only,2,Premium,Family/Indoor,3,Airline Partner,59.6,Medium,Indoor Micro-Experience,True,True,3,True,Indoor Micro-Experience,381.0,64.8,False,2.0,1.0,True,True,True,False,Indoor Micro-Experience,Indoor Micro-Experience,2.0,381.0,False,False,2.0,Premium,30.0,Medium,True,True,True,1.0,Mid,Completed,Indoor/Moderate-Risk,False,Medium,False,1.0
PS00048,35-44,Solo,visa-free/on-arrival,7.7,Evening,January,Needs Storage,,Mid-Range,Shopping,1,Airline Partner,74.5,High,City/Culture/Shopping,True,Y,3,True,City/Culture/Shopping,402.0,45.5,False,3.0,3.0,True,True,True,False,City/Culture/Shopping,City/Culture/Shopping,7.7,402.0,True,False,,Mid-Range,372.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,False,1.0
PS00049,35-44,Friends/Group,Transit-Visa-Required,9.5,Night,October,Checked-Through,4,Budget,Culture & Heritage,3,Airport Signage,69.3,High,City/Culture/Shopping,True,True,4,True,City/Culture/Shopping,447.0,27.1,True,4.0,4.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,9.5,447.0,False,False,4.0,Budget,480.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
PS00050,25-34,Couple,Not-Eligible,11.2,Afternoon,January,Needs Storage,4,Mid-Range,Active/City,2,Social Media,30.0,Low,Stay Airside,True,False,4,False,,,,,,,True,False,False,,Stay Airside,,11.2,,False,False,4.0,Mid-Range,582.0,Low,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Medium,False,
PS00051,55+,solo,Transit-Visa-Required,10.5,Night,April,Checked-Through,3,Premium,Shopping,1,Airline Partner,71.0,High,Premium Fast-Track/Chauffeur,True,True,2,True,Premium Fast-Track/Chauffeur,2344.0,14.3,True,4.0,4.0,True,True,True,True,Premium Fast-Track/Chauffeur,Premium Fast-Track/Chauffeur,10.5,2344.0,False,False,3.0,Premium,540.0,High,True,True,True,0.0,High,Completed,Outdoor/Higher-Risk,True,Low,True,1.0
PS00052,45-54,Family with kids,Visa-Free/On-Arrival,11.0,Afternoon,March,Carry-On Only,5,Mid-Range,Culture & Heritage,5,Airport Signage,85.0,High,City/Culture/Shopping,True,True,0,False,,,,,,,True,True,False,,City/Culture/Shopping,,11.0,,False,False,5.0,Mid-Range,570.0,High,False,False,False,,No Spend,Eligibility Checked,Outdoor/Higher-Risk,False,None,True,
PS00053,55+,Friends/Group,Transit-Visa-Required,8.8,Morning,November,Checked-Through,5,Budget,Shopping,3,Travel Agent,66.1,Medium,Airport Lounge/Relaxation,True,True,5,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,8.8,,False,False,5.0,Budget,438.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,High,True,
PS00054,45-54,Family with kids,Visa-Free/On-Arrival,14.4,Morning,August,Checked-Through,1,,Shopping,3,Airline Partner,89.6,High,City/Culture/Shopping,TRUE,True,4,True,City/Culture/Shopping,441.0,10.2,True,4.0,4.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,14.4,441.0,False,True,1.0,Unknown,774.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
PS00055,35-44,Friends/Group,Visa-Free/On-Arrival,5.3,Morning,December,Checked-Through,2,Budget,Relaxation & Wellness,4,Airport Signage,76.6,High,City/Culture/Shopping,True,True,3,FALSE,,,,,,,True,True,False,,City/Culture/Shopping,,5.3,,False,False,2.0,Budget,228.0,High,False,True,False,,No Spend,Package Viewed,Outdoor/Higher-Risk,False,Medium,True,
PS00056,55+,Solo,Visa-Free/On-Arrival,7.6,Afternoon,December,Checked-Through,,Premium,Culture & Heritage,2,Organic App Search,84.0,High,Indoor Micro-Experience,True,True,3,True,Indoor Micro-Experience,361.0,22.0,True,3.0,3.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,7.6,361.0,True,False,,Premium,366.0,High,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,True,Medium,True,1.0
PS00057,18-24,Family with kids,Visa-Free/On-Arrival,2.0,Afternoon,July,Checked-Through,3,Mid-Range,Family/Indoor,5,Airport Signage,61.6,Medium,Indoor Micro-Experience,Y,True,2,False,,,,,,,True,True,False,,Indoor Micro-Experience,,2.0,,False,False,3.0,Mid-Range,30.0,Medium,False,True,False,,No Spend,Package Viewed,Indoor/Moderate-Risk,False,Low,False,
PS00058,25-34,Couple,Visa-Free/On-Arrival,5.2,Evening,November,Checked-Through,1,Mid-Range,Shopping,2,Airport Signage,78.2,High,City/Culture/Shopping,True,True,2,True,City/Culture/Shopping,351.0,53.2,True,4.0,3.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,5.2,351.0,False,False,1.0,Mid-Range,222.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Low,True,1.0
PS00059,18-24,Family with kids,Transit-Visa-Required,13.0,Evening,July,Checked-Through,4,Premium,Relaxation & Wellness,3,Travel Agent,75.7,High,Indoor Micro-Experience,yes ,True,2,True,  Indoor Micro-Experience ,473.0,0.0,True,3.0,2.0,True,True,True,True,Indoor Micro-Experience,Indoor Micro-Experience,13.0,473.0,False,False,4.0,Premium,690.0,High,True,True,True,0.0,Mid,Completed,Indoor/Moderate-Risk,True,Low,True,1.0
PS00060,25-34,Family with kids,Not-Eligible,10.8,Morning,August,Carry-On Only,3,Premium,Relaxation & Wellness,4,Word of Mouth/Referral,30.0,Low,Stay Airside,True,True,1,True,Premium Fast-Track/Chauffeur,1569.0,18.8,True,3.0,3.0,True,True,True,True,Stay Airside,Premium Fast-Track/Chauffeur,10.8,1569.0,False,False,3.0,Premium,558.0,Low,True,True,True,0.0,High,Completed,Airside/Low-Risk,False,Low,False,0.0
PS00061,25-34,Family with kids,Visa-Free/On-Arrival,2.0,Morning,October,Checked-Through,3,Budget,Shopping,5,Word of Mouth/Referral,61.8,Medium,Airport Lounge/Relaxation,True,True,1,False,,,,,,,True,True,False,,Airport Lounge/Relaxation,,2.0,,False,False,3.0,Budget,30.0,Medium,False,True,False,,No Spend,Package Viewed,Airside/Low-Risk,False,Low,False,
PS00062,25-34,Family with kids,Visa-Free/On-Arrival,21.2,Morning,July,Checked-Through,,Budget,Shopping,4,Organic App Search,82.8,High,City/Culture/Shopping,True,True,3,True,City/Culture/Shopping,312.0,17.1,True,3.0,3.0,True,True,True,True,City/Culture/Shopping,City/Culture/Shopping,21.2,312.0,True,False,,Budget,1182.0,High,True,True,True,0.0,Mid,Completed,Outdoor/Higher-Risk,False,Medium,True,1.0
